Character,Comic Name,link
Kris,good-job.png,https://files.explosm.net/comics/Kris/good-job.png
Rob,dandowner9.png,https://files.explosm.net/comics/Rob/dandowner9.png
Dave,affluenza3.png,https://files.explosm.net/comics/Dave/affluenza3.png
Dave,takemeback1.png,https://files.explosm.net/comics/Dave/takemeback1.png
Rob,limit.png,https://files.explosm.net/comics/Rob/limit.png
Kris,lame.png,https://files.explosm.net/comics/Kris/lame.png
Dave,pizzaboy.png,https://files.explosm.net/comics/Dave/pizzaboy.png
Rob,howarebabiesmade.png,https://files.explosm.net/comics/Rob/howarebabiesmade.png
Kris,elephant.png,https://files.explosm.net/comics/Kris/elephant.png
Rob,wheredobabies2.png,https://files.explosm.net/comics/Rob/wheredobabies2.png
Dave,getajob.png,https://files.explosm.net/comics/Dave/getajob.png
Kris,joke.png,https://files.explosm.net/comics/Kris/joke.png
Dave,gallowshumor.png,https://files.explosm.net/comics/Dave/gallowshumor.png
Kris,daddys.png,https://files.explosm.net/comics/Kris/daddys.png
